Shot Type,Feedback Inference,Features Involved,Reasoning / Explanation,Threshold
Clear (0),Push up through your knees and hips—stand taller as you swing so the shuttle clears deeper.,"kp_26_y_max, kp_23_y_max, kp_24_y_max","If right knee and hips don’t reach high values during swing, legs/hips aren’t fully extended.","kp_26_y_max: [0.556, 0.736]; kp_23_y_max: [0.482, 0.636]; kp_24_y_max: [0.475, 0.651]"
Clear (0),"Keep your shoulders higher and square to the net—lift your chest and center your head for a more controlled, higher clear.","kp_11_y_mean, kp_1_x_mean",Low shoulder height or head/torso shifted sideways means slumped posture or misalignment.,"kp_11_y_mean: [0.191, 0.345]; kp_1_x_mean: [0.074, 0.902]"
Clear (0),Rise onto the balls of your feet—use a slight ankle drive to help propel the shuttle upward.,"kp_30_y_mean, kp_32_y_mean, kp_28_y_mean","If right heel and foot index sit low on average, ankle drive is insufficient.","kp_30_y_mean: [0.572, 0.736]; kp_32_y_mean: [0.581, 0.747]; kp_28_y_mean: [0.554, 0.719]"
Clear (0),Widen your stance slightly before hitting the clear—this helps with stability and a more powerful leg drive.,pair_23_24_mean_dist,Narrow hip distance means stance too close.,"pair_23_24_mean_dist: [0.0146, 0.0299]"
Clear (0),Keep your head steady and eyes fixed on the shuttle’s contact point—minimize unnecessary head motion for better timing.,"kp_5_std_vel, kp_2_x_mean",High eye velocity variability or drifting head indicates poor visual focus.,"kp_5_std_vel: [0.004, 0.009]; kp_2_x_mean: [0.073, 0.901]"
Drop Shot (1),"Keep your wrist higher and grip firmer—guide the shuttle gently, don’t let your wrist fold under.","kp_18_y_min, kp_22_y_min, kp_21_y_std",Pinky and thumb dipping too low or high thumb variability means wrist collapsing.,"kp_18_y_min: [-0.097, 0.311]; kp_22_y_min: [-0.085, 0.315]; kp_21_y_std: [0.025, 0.174]"
Drop Shot (1),Square your shoulders toward the net and keep your head centered—avoid over-twisting when playing a delicate drop.,"kp_1_x_mean, kp_4_x_max - kp_5_x_max",Head shifted sideways or excessive eye difference signals torso twist.,"kp_1_x_mean: [0.141, 0.852]"
Drop Shot (1),Maintain a controlled squat—avoid bouncing or lunging with your heels; stay balanced for precise shuttle placement.,"kp_30_y_min, kp_30_y_max",Heel height too low or too high means inconsistent stance.,"kp_30_y_min: [0.306, 0.679]; kp_30_y_max: [0.612, 0.950]"
Drop Shot (1),"Bend your knees softly, not too deep, and keep your feet steady—stay light on your toes to recover quickly after the drop.","kp_25_y_mean, kp_27_y_std",Knee too low means crouched too deeply; high ankle variability means unstable footwork.,"kp_25_y_mean: [0.466, 0.581]; kp_27_y_std: [0.045, 0.139]"
Drop Shot (1),Keep your head and chest at a consistent height—focus on a neutral posture so you can judge the shuttle’s flight better.,"kp_2_y_mean, kp_5_x_max",Mouth/eye region too low or head shifts sideways means imbalance.,"kp_2_y_mean: [0.129, 0.277]; kp_5_x_max: [0.313, 0.895]"
Net Shot (2),Hold your racket hand more steadily in front of you—minimize unnecessary up/down wobble for a cleaner net touch.,"kp_15_y_std, kp_19_y_std, kp_21_y_std",High wrist and finger vertical variability means unstable grip and racket angle.,"kp_15_y_std: [0.014, 0.135]; kp_19_y_std: [0.016, 0.140]; kp_21_y_std: [0.013, 0.139]"
Net Shot (2),Keep your head and shoulders square to the net—maintain a stable upper-body alignment to place the shuttle accurately.,"kp_1_x_mean, kp_2_x_mean",Head/torso drifting sideways causes loss of net shot precision.,"kp_1_x_mean: [0.070, 0.886]; kp_2_x_mean: [0.070, 0.884]"
Net Shot (2),Stay light on your toes—keep a modest heel lift and avoid collapsing too low so you can pivot instantly at the net.,"kp_30_y_mean, kp_32_y_mean, kp_31_y_max",Low heel and foot index means crouching too much; no foot rise means poor readiness.,"kp_30_y_mean: [0.247, 0.667]; kp_32_y_mean: [0.256, 0.672]; kp_31_y_max: [0.318, 0.934]"
Net Shot (2),Keep your hips slightly higher—avoid crouching too low so you can respond more quickly to follow-up shots.,"kp_23_y_mean, kp_24_y_mean",Low hip heights means net posture is too deep.,"kp_23_y_mean: [0.154, 0.398]; kp_24_y_mean: [0.153, 0.399]"
